name of company,salary
XORIANT,"₹657,673/yr"
3I INFOTECH,"₹382,116/yr"
QUINNOX,"₹446,973/yr"
CGI,"₹495,677/yr"
INDUS VALLEY PARTNERS,"₹788,735/yr"
VISTAAR TECHNOLOGIES,"₹516,757/yr"
IGATE,"₹29,996/mo"
DIEBOLD NIXDORF,"₹712,678/yr"
HEXAWARE TECHNOLOGIES,"₹30,641/mo"
GOLDENSOURCE CORPORATION,"₹534,819/yr"
MAQ SOFTWARE,"₹760,901/yr"
AURIONPRO SOLUTIONS,"₹474,548/yr"
DIRECTI,"₹1,656,475/yr"
ROLTA,"₹669,818/yr"
FINANCIAL SOFTWARE & SYSTEMS,"₹329,799/yr"
ZEUS LEARNING PVT. LTD,"₹33,993/mo"
ATOS,"₹25,600/mo"
L&T TECHNOLOGY SERVICES,"₹502,364/yr"
NESS TECHNOLOGIES,"₹556,324/yr"
MPHASIS,"₹710,194/yr"
INFIBEAM.COM,"₹659,610/yr"
J.P. MORGAN,"₹1,062,429/yr"
WIPRO,"₹482,653/yr"
ETP INTERNATIONAL,"₹403,306/yr"
PARAMATRIX TECHNOLOGIES,"₹395,842/yr"
NEOSOFT TECHNOLOGIES,"₹482,921/yr"
INFOSYS,"₹470,498/yr"
RAVE TECHNOLOGIES,"₹636,636/yr"
INFOGAIN,"₹415,614/yr"
CARWALE,"₹664,982/yr"
SMARTSTREAM TECHNOLOGIES,"₹996,753/yr"
REDIFF.COM,"₹795,108/yr"
HOUSING.COM,"₹1,706,825/yr"
NUCSOFT,"₹225,812/yr"
TECH MAHINDRA,"₹29,854/mo"
MAJESCO,"₹485,992/yr"
NEWGEN SOFTWARE,"₹432,807/yr"
GE,"₹708,060/yr"
JIO,"₹526,728/yr"
GEP,"₹734,589/yr"
ATOS-SYNTEL,"₹30,651/mo"
JUSTDIAL,"₹464,647/yr"
ORACLE,"₹753,646/yr"
BLUE STAR INFOTECH,"₹424,246/yr"
LARSEN & TOUBRO,"₹485,375/yr"
BROWSERSTACK,"₹1,644,642/yr"
TINYOWL TECHNOLOGY,"₹1,384,961/yr"
MORGAN STANLEY,"₹1,764,982/yr"
INGRAM MICRO,"₹515,321/yr"
TATA POWER SED,"₹437,428/yr"
TCS,"₹363,745/yr"
ZYCUS,"₹41,812/mo"
CLOVER INFOTECH,"₹17,444/mo"
COGNIZANT TECHNOLOGY SOLUTIONS,"₹504,272/yr"
CROWDFIRE,"₹1,630,692/yr"
JLT GROUP,"₹583,059/yr"
DOYEN INFOSOLUTIONS,"₹425,425/yr"
GERMINAIT SOLUTIONS,"₹661,179/yr"
63 MOONS TECHNOLOGIES,"₹422,205/yr"
FINICITY,"₹380,604/yr"
SECLORE TECHNOLOGY,"₹639,311/yr"
VERIXO TECHNOLOGIES,"₹216,692/yr"
WEB ACCESS,"₹21,851/mo"
IBM,"₹374,779/yr"
NELITO SYSTEM,"₹27,909/mo"
CMSS PRIVATE LIMITED,"₹14,130/mo"
NEEBAL TECHNOLOGIES,"₹560,963/yr"
LIONBRIDGE,"₹441,092/yr"
GOOGLE,"₹44,037/mo"
CREDR,"₹913,010/yr"
BNP PARIBAS,"₹53,484/mo"
CRISIL,"₹883,298/yr"
SYNERGY TECHNOLOGY SERVICES,"₹274,553/yr"
INSCRIPTS,"₹22,657/mo"
INTELLISWIFT,"₹15,516/mo"
HERE TECHNOLOGIES,"₹831,227/yr"
MASTEK,"₹38,791/mo"
GREYTRIX,"₹25,741/mo"
HCL TECHNOLOGIES,"₹305,980/yr"
FINANCIAL TECHNOLOGY INDIA,"₹33,613/mo"
GRACENOTE,"₹670,028/yr"
RUBIQUE,"₹901,680/yr"
EMBER TECHNOLOGIES,"₹306,086/yr"
TEJORA TECHNOLOGIES,"₹544,552/yr"
ACE SOFTWARE SOLUTIONS,"₹675,000/yr"
SOFT.COM,"₹21,638/mo"
VIRAL TECHNOLOGIES,"₹32,308/mo"
GEODESIC,"₹530,541/yr"
BRAINVIRE INFOTECH,"₹33,260/mo"
TOPPR.COM,"₹1,001,186/yr"
ECLERX,"₹395,431/yr"
IRIS BUSINESS SERVICES LIMITED,"₹376,900/yr"
IIT BOMBAY,"₹37,144/mo"
KPIT TECHNOLOGIES,"₹45,290/mo"
HOPSCOTCH (INDIA),"₹1,045,928/yr"
ZOOTY,"₹1,288,965/yr"
CAPGEMINI INVENT,"₹361,099/yr"
TRAVELEX,"₹770,711/yr"
LEARNINGMATE SOLUTIONS,"₹59,207/mo"
CALYPSO TECHNOLOGY,"₹1,202,798/yr"
GILBARCO VEEDER-ROOT,"₹517,416/yr"
NSETECH,"₹855,947/yr"
RELIANCE INDUSTRIES,"₹500,000/yr"
BANK OF AMERICA,"₹797,402/yr"
V2 SOLUTIONS,"₹273,148/yr"
EDCAST,"₹662,956/yr"
DIRECTION SOFTWARE SOLUTIONS,"₹43,857/mo"
INFRASOFT TECHNOLOGIES,"₹415,614/yr"
CBT INFOTECH PVT.,"₹27,708/mo"
CRAFTSVILLA.COM,"₹837,273/yr"
TSS CONSULTANCY,"₹446,159/yr"
QAD,"₹886,642/yr"
ABC,"₹26,742/mo"
COUPONDUNIA,"₹913,010/yr"
CEX WEBUY ENTERTAINMENT,"₹561,585/yr"
NCR,"₹1,371,478/yr"
TECHPROCESS PAYMENT SERVICES,"₹332,491/yr"
MOBILEUM,"₹385,356/yr"
DELOITTE,"₹741,821/yr"
POLARIS FT,"₹349,115/yr"
PRAXIS INTERACTIVE TECHNOLOGIES,"₹748,780/yr"
OSP LABS,"₹331,295/yr"
TRIGYN TECHNOLOGIES,"₹462,427/yr"
CIMPRESS,"₹861,754/yr"
LRN,"₹1,004,727/yr"
PATNI COMPUTER SYSTEMS,"₹27,614/mo"
MEDIA.NET,"₹1,385,379/yr"
SAINT-GOBAIN,"₹574,906/yr"
LOYLTY REWARDZ MNGT,"₹554,151/yr"
VE,"₹309,580/yr"
KIPROSH,"₹695,296/yr"
3DPLM SOFTWARE SOLUTION,"₹599,024/yr"
EURONET,"₹436,788/yr"
INDUS OS,"₹1,766,906/yr"
GEOMETRIC SOFTWARE SOLUTIONS,"₹737,980/yr"
SAAVN,"₹1,379,435/yr"
MILES SOFTWARE,"₹346,240/yr"
BOOKMYSHOW,"₹652,677/yr"
