,name of company,college name,region,year
0,3D PLM Software (Dassault),Army Institute of Technology,Pune,2018
1,Mindstix Software Labs,Army Institute of Technology,Pune,2018
2,Accops Systems,Army Institute of Technology,Pune,2018
3,Mu Sigma,Army Institute of Technology,Pune,2018
4,Adobe,Army Institute of Technology,Pune,2018
5,Must Garments,Army Institute of Technology,Pune,2018
6,Amazon,Army Institute of Technology,Pune,2018
7,NTT Data,Army Institute of Technology,Pune,2018
8,Amdocs,Army Institute of Technology,Pune,2018
9,Optymyze,Army Institute of Technology,Pune,2018
10,Amura Marketing Technologies,Army Institute of Technology,Pune,2018
11,Oracle Fin Serv Software ,Army Institute of Technology,Pune,2018
12,Atos India,Army Institute of Technology,Pune,2018
13,Oracle GBU,Army Institute of Technology,Pune,2018
14,Barclays,Army Institute of Technology,Pune,2018
15,Pernod Ricard India,Army Institute of Technology,Pune,2018
16,Bitwise,Army Institute of Technology,Pune,2018
17,Persistent Systems,Army Institute of Technology,Pune,2018
18,Blue Bricks,Army Institute of Technology,Pune,2018
19,Praj Industries,Army Institute of Technology,Pune,2018
20,Bristlecone India,Army Institute of Technology,Pune,2018
21,Precision Automation (PARI),Army Institute of Technology,Pune,2018
22,Capgemini,Army Institute of Technology,Pune,2018
23,Principal Global Services,Army Institute of Technology,Pune,2018
24,Commvault,Army Institute of Technology,Pune,2018
25,Reliance Jio,Army Institute of Technology,Pune,2018
26,Continental Automotive,Army Institute of Technology,Pune,2018
27,Renata Precision Components,Army Institute of Technology,Pune,2018
28,Deloitte,Army Institute of Technology,Pune,2018
29,Robert Bosch Engineering,Army Institute of Technology,Pune,2018
30,Directi,Army Institute of Technology,Pune,2018
31,Saba Software,Army Institute of Technology,Pune,2018
32,Edelweiss Financial Services,Army Institute of Technology,Pune,2018
33,Saint Gobain,Army Institute of Technology,Pune,2018
34,eLitmus,Army Institute of Technology,Pune,2018
35,Samsung R&D,Army Institute of Technology,Pune,2018
36,Epic Research Pvt Ltd,Army Institute of Technology,Pune,2018
37,Sanmar Group,Army Institute of Technology,Pune,2018
38,FIGmd,Army Institute of Technology,Pune,2018
39,Sapient,Army Institute of Technology,Pune,2018
40,Focus Academy of Career Enhancement,Army Institute of Technology,Pune,2018
41,SAS Research Pvt Ltd,Army Institute of Technology,Pune,2018
42,Godrej,Army Institute of Technology,Pune,2018
43,Schlumberger ,Army Institute of Technology,Pune,2018
44,Good Methods Global Inc,Army Institute of Technology,Pune,2018
45,Screen Magic,Army Institute of Technology,Pune,2018
46,Grindwell Norton,Army Institute of Technology,Pune,2018
47,Sears Holdings,Army Institute of Technology,Pune,2018
48,Hashmap Inc ,Army Institute of Technology,Pune,2018
49,Seclore,Army Institute of Technology,Pune,2018
50,HeyMojo Inc,Army Institute of Technology,Pune,2018
51,SKF India,Army Institute of Technology,Pune,2018
52,HSBC Software,Army Institute of Technology,Pune,2018
53,Symantec,Army Institute of Technology,Pune,2018
54,Hyundai Constructions,Army Institute of Technology,Pune,2018
55,Tata Consultancy Services,Army Institute of Technology,Pune,2018
56,IBM,Army Institute of Technology,Pune,2018
57,Tata Technologies,Army Institute of Technology,Pune,2018
58,INA Bearings,Army Institute of Technology,Pune,2018
59,Tech Mahindra,Army Institute of Technology,Pune,2018
60,Inbound Mantra,Army Institute of Technology,Pune,2018
61,Technip FMC,Army Institute of Technology,Pune,2018
62,Indix Internet India Pvt Ltd,Army Institute of Technology,Pune,2018
63,Thermax,Army Institute of Technology,Pune,2018
64,Intelegencia,Army Institute of Technology,Pune,2018
65,Thoughtworks,Army Institute of Technology,Pune,2018
66,Inteva Products India,Army Institute of Technology,Pune,2018
67,Varroc Group,Army Institute of Technology,Pune,2018
68,ION Trading,Army Institute of Technology,Pune,2018
69,Veritas,Army Institute of Technology,Pune,2018
70,JohnDeere,Army Institute of Technology,Pune,2018
71,Virtusa Polaris,Army Institute of Technology,Pune,2018
