name of company,college name,region,year
ZEUS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ADITYA BIRLA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
CAPGEMINI,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
CMCLIMITED,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
EMCO,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
GG,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
GODREJ,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
INFOSYS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
HEXAWARE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
KPIT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
LANDT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
NIELSEN,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ORACLE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ORANGE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
PERSISTENT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
PUNJLLOYD,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
QUINNOX,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
RELIANCE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
SYNTEL,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
TESTFUNDS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ACCENTURE,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
CAPGEMINI,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
ESSENTIAL,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
GREAVES,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
INFRASOFTTECH,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
LALIT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
MAHINDRA,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
MASTEK,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
NSEIT,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
PATNI,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
QUALITYKIOSK,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
STERLING,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
TCS,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
VISTAAR,PILLAI COLLEGE OF ENGINEERING,NAVI MUMBAI,2018
AAKASH INSTITUTE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ACCENTURE SERVICES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ACCIONLABS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ACCOLITE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AGR KNOWLEDGE SERVICES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AHDITYAA ENTERPRISES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AKER SOLUTIONS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ALL CARGO LOGISTICS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AMDOCS DEVELOPMENT CENTRE INDIA PVT.LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ARISTON CAPITAL SERVICES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ARMACO CHEMICAL PROCESS SYSTEMS PVT. LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ATIDAN TECHNOLOGIES PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
ATOS INDIA PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
AVALON GLOBAL RESEARCH,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BANK OF AMERICA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BARCLAYS,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BHARTI AIRTEL LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BLUE STAR LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BOOKMYSHOW,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BOSCH LTD,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
BUILD TRACK,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CAPEGEMINI INDIA,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CARTESIAN CONSULTING,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CEX WEBUY ENTERTAINMENT PVT.LIMITED,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
CIMPRESS INDIA PVT. LTD.,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
COFFEE DAY BEVERAGES,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
COLGATE,K. J. SOMAIYA COLLEGE OF ENGINEERING,MUMBAI,2018
